,Nombre,Código NIF,Localidad,Coordenada - X,Coordenada - Y,Ultimo año disponible,Ultimo número empleados,No of companies in corporate group,Código primario CNAE 2009,Literal código CNAE 2009 primario,Descripción actividad,"Ingresos de explotación
EUR
Últ. año disp.","Ingresos de explotación
EUR
2020","Ingresos de explotación
EUR
2019","Ingresos de explotación
EUR
2018","Ingresos de explotación
EUR
2017","Ingresos de explotación
EUR
2016","Ingresos de explotación
EUR
2015","Ingresos de explotación
EUR
2014","Ingresos de explotación
EUR
2013","Ingresos de explotación
EUR
2012","Ingresos de explotación
EUR
2011","Ingresos de explotación
EUR
2010","Resultado del Ejercicio
EUR
Últ. año disp.","Resultado del Ejercicio
EUR
2020","Resultado del Ejercicio
EUR
2019","Resultado del Ejercicio
EUR
2018","Resultado del Ejercicio
EUR
2017","Resultado del Ejercicio
EUR
2016","Resultado del Ejercicio
EUR
2015","Resultado del Ejercicio
EUR
2014","Resultado del Ejercicio
EUR
2013","Resultado del Ejercicio
EUR
2012","Resultado del Ejercicio
EUR
2011","Resultado del Ejercicio
EUR
2010","Rentabilidad económica (%)
%
Últ. año disp.","Rentabilidad económica (%)
%
2020","Rentabilidad económica (%)
%
2019","Rentabilidad económica (%)
%
2018","Rentabilidad económica (%)
%
2017","Rentabilidad económica (%)
%
2016","Rentabilidad económica (%)
%
2015","Rentabilidad económica (%)
%
2014","Rentabilidad económica (%)
%
2013","Rentabilidad económica (%)
%
2012","Rentabilidad económica (%)
%
2011","Rentabilidad económica (%)
%
2010","Rentabilidad financiera (%)
%
Últ. año disp.","Rentabilidad financiera (%)
%
2020","Rentabilidad financiera (%)
%
2019","Rentabilidad financiera (%)
%
2018","Rentabilidad financiera (%)
%
2017","Rentabilidad financiera (%)
%
2016","Rentabilidad financiera (%)
%
2015","Rentabilidad financiera (%)
%
2014","Rentabilidad financiera (%)
%
2013","Rentabilidad financiera (%)
%
2012","Rentabilidad financiera (%)
%
2011","Rentabilidad financiera (%)
%
2010","Liquidez general
%
Últ. año disp.","Liquidez general
%
2020","Liquidez general
%
2019","Liquidez general
%
2018","Liquidez general
%
2017","Liquidez general
%
2016","Liquidez general
%
2015","Liquidez general
%
2014","Liquidez general
%
2013","Liquidez general
%
2012","Liquidez general
%
2011","Liquidez general
%
2010","Endeudamiento (%)
%
Últ. año disp.","Endeudamiento (%)
%
2020","Endeudamiento (%)
%
2019","Endeudamiento (%)
%
2018","Endeudamiento (%)
%
2017","Endeudamiento (%)
%
2016","Endeudamiento (%)
%
2015","Endeudamiento (%)
%
2014","Endeudamiento (%)
%
2013","Endeudamiento (%)
%
2012","Endeudamiento (%)
%
2011","Endeudamiento (%)
%
2010","Número empleados
Últ. año disp.","Número empleados
2020","Número empleados
2019","Número empleados
2018","Número empleados
2017","Número empleados
2016","Número empleados
2015","Número empleados
2014","Número empleados
2013","Número empleados
2012","Número empleados
2011","Número empleados
2010","Distribución - Mujeres
Últ. año disp.","Distribución - Mujeres
2020","Distribución - Mujeres
2019","Distribución - Mujeres
2018","Distribución - Mujeres
2017","Distribución - Mujeres
2016","Distribución - Mujeres
2015","Distribución - Mujeres
2014","Distribución - Mujeres
2013","Distribución - Mujeres
2012","Distribución - Mujeres
2011","Distribución - Mujeres
2010","Distribución - Hombres
Últ. año disp.","Distribución - Hombres
2020","Distribución - Hombres
2019","Distribución - Hombres
2018","Distribución - Hombres
2017","Distribución - Hombres
2016","Distribución - Hombres
2015","Distribución - Hombres
2014","Distribución - Hombres
2013","Distribución - Hombres
2012","Distribución - Hombres
2011","Distribución - Hombres
2010"
598.,MIRACLE TECHNOLOGY GROUP SL.,B87504031,MADRID,-3.69041052,40.41319935,31/12/2019,38,15,6202,Actividades de consultoría informática,"la realización, tanto en España como en el extranjero, de las siguientes actividades: a) Desarrollo de páginas web y aplicaciones para móviles; desarrollo de software; test de software; integración de sistemas de la información; servicio de consultas y subcontratación de servicios de tecnologías ..","7,260,848",n.d.,"7,260,848","5,788,743","2,643,481","888,476",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"307,765",n.d.,"307,765","131,551","23,644","20,442",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,32.96,n.d.,32.96,15.07,4.31,7.30,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,83.17,n.d.,83.17,94.49,58.29,89.53,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.54,n.d.,1.54,1.13,1.04,1.08,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,60.38,n.d.,60.38,84.05,92.61,91.85,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,38,n.d.,38,11,3,2,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
599.,SUELI Y GERARDO SL,B33575630,OVIEDO,-5.857321,43.360103,31/12/2018,3,0,6202,Actividades de consultoría informática,"1.- PRESTACION DE SERVICIOS DE ESTUDIO Y ANALISIS DE PROCESOS PARA SU TRATAMIENTO MECANICO, DE PROGRAMACION PARA EQUIPOS ELECTRONICOS, DE REGISTRO DE DATOS EN SOPORTE DE ENTRADA PARA ORDENADORES. VENTA DE PROGRAMAS, EQUI","7,250,557",n.d.,n.d.,"7,250,557","7,282,119","6,430,905","4,262,389","3,420,812","1,660,939","1,994,057","2,756,881","2,419,095","501,788",n.d.,n.d.,"501,788","83,334","401,495","75,951","91,283","1,477","159,581","440,189","228,743",19.02,n.d.,n.d.,19.02,4.81,20.67,4.46,5.75,0.11,12.38,39.33,27.30,30.02,n.d.,n.d.,30.02,7.57,35.44,7.98,10.20,0.18,19.42,69.43,63.54,0.98,n.d.,n.d.,0.98,1.06,1.37,1.03,0.87,0.85,0.76,1.52,0.95,36.64,n.d.,n.d.,36.64,36.48,41.68,44.07,43.63,36.45,36.26,43.35,57.04,3,n.d.,n.d.,3,2,2,1,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1,n.d.,n.d.,n.d.,n.d.
600.,SERVIGUIDE SL,B15576689,A CORUÑA,-8.40815291,43.36229873,31/12/2019,226,2,7022,Otras actividades de consultoría de gestión empresarial,Empresa de servicios de consultoría.,"7,247,118",n.d.,"7,247,118","5,834,255","4,863,824","4,901,154","4,743,913","4,787,338","5,448,327","4,676,128","4,998,511","6,567,575","152,784",n.d.,"152,784","59,111","128,002","-500,233","-78,260","372,374","563,141","5,819","224,089","546,691",3.31,n.d.,3.31,1.95,5.03,-19.68,-3.06,12.91,21.61,0.39,15.02,31.68,10.71,n.d.,10.71,4.40,9.94,-42.71,-4.46,18.01,30.01,0.59,22.83,47.81,1.50,n.d.,1.50,2.25,3.67,3.65,4.06,3.35,3.52,2.93,3.00,2.95,69.09,n.d.,69.09,55.79,49.40,53.91,31.36,28.29,28.01,33.40,34.21,33.75,142,n.d.,142,n.d.,119,125,125,188,n.d.,n.d.,226,207,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
601.,EXCELIA SL,B82479098,MADRID,-3.80160135,40.46801529,31/12/2018,100,9,7022,Otras actividades de consultoría de gestión empresarial,Gestión de consultoría IT y desarrollo de negocios.,"7,246,519",n.d.,n.d.,"7,246,519","7,266,602","5,630,682","4,988,317","4,231,001","4,039,954","3,547,291","3,315,590","3,304,909","381,783",n.d.,n.d.,"381,783","281,216","355,417","255,040","232,512","87,919","102,869","97,770","99,346",4.65,n.d.,n.d.,4.65,2.87,5.10,4.29,4.61,3.93,5.81,6.65,9.02,18.00,n.d.,n.d.,18.00,12.06,18.69,16.07,16.86,13.93,18.18,19.85,22.65,1.18,n.d.,n.d.,1.18,1.09,1.13,1.36,1.44,1.67,1.67,1.71,1.44,74.17,n.d.,n.d.,74.17,76.21,72.71,73.30,72.64,71.75,68.02,66.51,60.18,92,n.d.,n.d.,92,89,73,49,58,45,27,22,23,35,n.d.,n.d.,35,34,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,49,n.d.,n.d.,49,56,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
602.,DEUSTO SISTEMAS SOCIEDAD ANONIMA,A95191300,VITORIA-GASTEIZ,-2.74747478,42.82980849,31/12/2018,123,3,6202,Actividades de consultoría informática,Desarrollo y consultoría informática,"7,245,806",n.d.,n.d.,"7,245,806","7,876,272","13,469,360","8,852,640","8,047,021","7,716,694","9,413,797","8,598,389","6,331,370","62,693",n.d.,n.d.,"62,693","-231,807","-213,620","71,424","192,413","52,977","436,643","385,488","245,480",2.33,n.d.,n.d.,2.33,-2.88,-2.51,-3.04,-3.88,1.30,8.29,5.87,7.95,112.57,n.d.,n.d.,112.57,-9.20,-6.62,-6.41,-6.09,1.97,16.45,16.37,13.53,1.65,n.d.,n.d.,1.65,2.96,1.70,2.05,2.72,2.80,1.92,1.51,2.17,97.93,n.d.,n.d.,97.93,68.75,62.15,52.61,36.20,34.06,49.58,64.12,41.23,128,n.d.,n.d.,128,116,120,120,116,123,146,158,146,50,n.d.,n.d.,50,n.d.,56,n.d.,52,59,63,72,n.d.,84,n.d.,n.d.,84,n.d.,64,n.d.,64,64,83,85,n.d.
603.,INNOFIS ESGM SL.,B65770950,BARCELONA,2.1564288,41.39420943,31/12/2016,90,17,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Multinacional informática especializada en el sector financiero.,"7,230,248",n.d.,n.d.,n.d.,n.d.,"7,230,248","4,766,987","3,589,332","1,993,061","541,361",n.d.,n.d.,"2,964,753",n.d.,n.d.,n.d.,n.d.,"2,964,753","1,665,608","699,601","265,874","72,582",n.d.,n.d.,117.62,n.d.,n.d.,n.d.,n.d.,117.62,96.28,52.91,44.98,16.47,n.d.,n.d.,194.30,n.d.,n.d.,n.d.,n.d.,194.30,152.50,132.51,74.28,79.21,n.d.,n.d.,2.42,n.d.,n.d.,n.d.,n.d.,2.42,2.59,0.87,2.25,1.19,n.d.,n.d.,39.47,n.d.,n.d.,n.d.,n.d.,39.47,36.87,60.07,39.45,79.21,n.d.,n.d.,69,n.d.,n.d.,n.d.,n.d.,69,56,38,22,6,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
604.,GENERAL TECHNOLOGIES CONSULTING SL.,B83862748,MADRID,-3.68196271,40.44627733,31/12/2019,136,12,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Prestación de servicios informáticos en general.,"7,196,896",n.d.,"7,196,896","7,675,353","6,545,072","6,992,188","6,719,389","4,789,892","4,425,613","7,722,063","7,012,165","6,043,724","820,831",n.d.,"820,831","947,154","567,760","937,434","829,627","109,195","690,343","885,310","506,261","496,851",7.74,n.d.,7.74,9.53,5.78,10.28,10.55,1.66,11.34,15.61,10.47,11.72,10.39,n.d.,10.39,12.93,8.56,15.15,17.19,2.66,17.10,24.90,17.25,19.25,3.47,n.d.,3.47,3.34,2.80,3.11,3.05,5.92,5.89,4.16,3.39,2.78,25.52,n.d.,25.52,26.31,32.49,32.14,38.60,37.65,33.67,37.30,39.29,39.14,136,n.d.,136,149,149,142,132,112,163,163,175,161,35,n.d.,35,34,63,68,54,53,37,62,78,65,99,n.d.,99,118,83,96,104,79,58,95,111,85
605.,BPO SOLUTIONS SPAIN SL,B84441559,MADRID,-3.702757,40.45403955,31/12/2019,264,336,7022,Otras actividades de consultoría de gestión empresarial,Servicios de consultoría y externalización de servicios.,"7,186,322",n.d.,"7,186,322","8,568,160","7,032,954","7,216,418","6,121,023","5,268,827","6,071,354","7,235,112","4,039,650","2,347,627","-754,299",n.d.,"-754,299","831,180","985,322","1,053,616","767,850","197,934","522,079","613,794","222,082","95,514",-29.59,n.d.,-29.59,33.93,38.00,50.25,61.76,29.75,56.15,54.36,16.73,14.03,-39.39,n.d.,-39.39,41.71,46.49,60.40,90.75,54.29,91.20,138.05,38.62,23.50,3.17,n.d.,3.17,4.32,4.49,4.09,3.07,2.13,2.55,1.69,1.76,2.76,24.88,n.d.,24.88,18.65,18.27,16.80,31.94,45.21,38.43,60.62,56.68,40.30,264,n.d.,264,232,231,241,201,182,204,210,133,73,n.d.,n.d.,n.d.,245,n.d.,129,170,147,148,n.d.,83,n.d.,n.d.,n.d.,n.d.,113,n.d.,112,71,63,69,n.d.,50,n.d.
606.,SEVEN EIGHTHS IP MANAGEMENT SERVICES SL.,B86569159,MADRID,-3.81753168,40.46873365,31/12/2019,67,14,6202,Actividades de consultoría informática,"La prestación de servicios de licenciamiento de software, venta de licencias de software y hardware, productos y servicios de consultoría en marketin, incluido el marketing legal, autsourcing, licenciamiento, informática y telecomunicaciones","7,160,000",n.d.,"7,160,000","6,928,615","3,164,536","2,122,708","1,327,557","1,280,339","1,137,545",n.d.,n.d.,n.d.,"1,019,804",n.d.,"1,019,804","1,622,951","503,508","446,849","680,487","217,892","71,592",n.d.,n.d.,n.d.,10.23,n.d.,10.23,23.62,9.76,19.98,33.42,8.20,-11.36,n.d.,n.d.,n.d.,33.69,n.d.,33.69,54.42,26.87,41.78,77.13,67.67,180.50,n.d.,n.d.,n.d.,3.93,n.d.,3.93,1.76,1.12,1.82,1.51,1.24,7.27,n.d.,n.d.,n.d.,69.65,n.d.,69.65,56.60,63.67,52.18,56.67,87.89,106.29,n.d.,n.d.,n.d.,67,n.d.,67,72,30,8,6,10,8,n.d.,n.d.,n.d.,41,n.d.,41,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,n.d.,n.d.,34,n.d.,34,n.d.,n.d.,n.d.,n.d.,n.d.,4,n.d.,n.d.,n.d.
607.,NOMINALIA INTERNET SL,B61553327,BARCELONA,2.140964,41.350587,31/12/2018,60,2,6311,"Proceso de datos, hosting y actividades relacionadas",Servicios webs de internet a empresas y particulares.,"7,157,099",n.d.,n.d.,"7,157,099","6,576,947","6,025,681","5,300,852","5,067,300","5,449,856","5,606,126","5,629,299","5,726,740","809,523",n.d.,n.d.,"809,523","-116,565","-409,279","-364,478","-117,447","553,015","625,878","618,017","108,066",21.52,n.d.,n.d.,21.52,-3.30,-9.18,-7.75,-2.78,18.95,19.79,21.22,4.56,40.20,n.d.,n.d.,40.20,-9.68,-30.99,-21.06,-5.66,31.68,34.29,44.40,13.66,2.12,n.d.,n.d.,2.12,1.44,1.39,1.52,1.87,2.42,2.37,1.75,1.39,46.48,n.d.,n.d.,46.48,65.88,70.37,63.21,50.89,40.18,42.29,52.20,66.66,48,n.d.,n.d.,48,56,46,40,27,29,29,31,54,26,n.d.,n.d.,26,n.d.,27,n.d.,n.d.,n.d.,20,20,n.d.,19,n.d.,n.d.,19,n.d.,21,n.d.,n.d.,n.d.,11,11,n.d.
608.,IBERO GROUP TECNOCASA SERVICES SL.,B65870776,EL PRAT DE LLOBREGAT,2.066282,41.310132,31/12/2019,20,41,7022,Otras actividades de consultoría de gestión empresarial,Franquiciadora inmobiliaria.,"7,147,559",n.d.,"7,147,559","6,298,337","5,619,902","5,080,419","4,245,193","3,081,142","2,655,942",n.d.,n.d.,n.d.,"1,249,349",n.d.,"1,249,349","997,473","1,014,161","793,883","395,396","344,776","319,157",n.d.,n.d.,n.d.,83.97,n.d.,83.97,124.07,97.77,78.93,49.02,48.00,55.63,0.00,n.d.,n.d.,126.11,n.d.,126.11,359.97,231.05,289.95,119.15,113.04,114.71,0.00,n.d.,n.d.,2.91,n.d.,2.91,1.41,1.60,1.36,1.65,1.65,1.78,n.s.,n.d.,n.d.,33.42,n.d.,33.42,65.53,57.68,72.78,58.86,57.53,51.51,0.00,n.d.,n.d.,15,n.d.,15,15,14,14,14,11,11,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,6,7,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,6,5,n.d.,n.d.,n.d.
609.,MI-GSO EXPERTO EN MANAGEMENT DE PROYECTOS SL.,B86733649,MADRID,-3.68362205,40.42825361,31/12/2018,131,204,7022,Otras actividades de consultoría de gestión empresarial,"EL ASESORAMIENTO, LA ASISTENCIA Y LA FORMACION A EMPRESAS O A CUALQUIERA ORGANISMOS PUBLICOS O PRIVADOS EN MATERIA DE PLANIFICACION, ORGANIZACION, CONTROL Y GESTION","7,140,087",n.d.,n.d.,"7,140,087","4,806,326","3,285,128","2,224,448","893,467","112,923",n.d.,n.d.,n.d.,"633,309",n.d.,n.d.,"633,309","296,682","247,512","233,455","74,353","3,517",n.d.,n.d.,n.d.,18.45,n.d.,n.d.,18.45,18.32,13.60,25.33,19.35,3.30,n.d.,n.d.,n.d.,54.83,n.d.,n.d.,54.83,43.81,54.82,91.16,83.36,9.41,n.d.,n.d.,n.d.,1.50,n.d.,n.d.,1.50,1.71,1.33,1.38,1.30,1.54,n.d.,n.d.,n.d.,66.35,n.d.,n.d.,66.35,58.19,75.18,72.21,76.79,64.91,n.d.,n.d.,n.d.,131,n.d.,n.d.,131,82,56,32,11,1,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,39,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,59,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
610.,LIDER INTEGRATED TECHNOLOGY CONSULTING SL,B33064767,LLANERA,-5.83087,43.424002,31/12/2018,150,4,6202,Actividades de consultoría informática,"Consultoría informática , sistemas e instalaciones informáticas","7,130,146",n.d.,n.d.,"7,130,146","5,693,604","4,867,094","4,577,439","3,915,922","3,710,926","3,400,069","3,510,982","3,417,463","181,868",n.d.,n.d.,"181,868","217,902","234,999","180,348","214,457","141,370","135,512","138,124","128,046",5.12,n.d.,n.d.,5.12,7.29,6.31,6.73,8.14,6.30,6.16,6.15,5.49,12.19,n.d.,n.d.,12.19,15.15,13.39,14.47,17.41,14.30,15.52,17.82,17.62,1.42,n.d.,n.d.,1.42,1.63,1.58,1.67,2.84,2.10,2.23,2.14,1.98,57.97,n.d.,n.d.,57.97,51.85,52.86,53.50,53.22,55.91,60.30,65.51,68.87,103,n.d.,n.d.,103,85,76,67,60,51,48,50,51,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
611.,DYNATA GLOBAL SPAIN SL.,B84552348,MADRID,-3.69321802,40.42043811,31/12/2010,18,14,6311,"Proceso de datos, hosting y actividades relacionadas","LA REALIZACION DE ACTIVIDADES ENCAMINADAS A LA OBTENCION, RECOPILACION Y TRATAMIENTO DE DATOS E INFORMACION SOBRE CONSUMIDORES Y NEGOCIOS A FIN DE SUMINISTRAR DICHOS DATOS E INFORMACION POR VIA TELEFONICA, INTERNET, O CU","7,111,837",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"7,111,837","193,407",n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,"193,407",11.81,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,11.81,50.21,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,50.21,1.30,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.30,76.48,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,76.48,25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,25,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
612.,LANMEDIA COMUNICACIONES SOCIEDAD LIMITADA,B95607008,ERANDIO,-2.96177548,43.29117845,31/12/2019,64,0,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Instalación de redes telefónicas,"7,107,023",n.d.,"7,107,023","6,151,247","6,074,085","5,498,607","5,030,515","3,371,090","2,479,255","1,493,561","816,661","109,087","287,817",n.d.,"287,817","235,404","391,548","314,594","349,482","289,539","94,129","18,380","28,905","-51,048",8.71,n.d.,8.71,10.49,15.42,13.84,16.69,20.97,2.47,0.91,1.31,-24.65,19.76,n.d.,19.76,20.41,36.74,33.02,34.45,45.05,5.89,2.01,2.54,-514.61,1.71,n.d.,1.71,1.99,1.60,1.54,1.73,1.73,1.61,1.72,2.33,4.58,55.92,n.d.,55.92,48.61,58.04,58.09,51.56,53.46,58.06,54.75,48.51,95.21,64,n.d.,64,58,52,50,43,31,26,13,9,3,14,n.d.,14,16,n.d.,n.d.,n.d.,5,4,n.d.,n.d.,n.d.,55,n.d.,55,49,n.d.,n.d.,n.d.,29,24,n.d.,n.d.,n.d.
613.,NETERIS CONSULTING SL,B85573996,MADRID,-3.67859629,40.43888384,31/12/2019,49,2,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Consultoria de gestión y sistemas de la información.,"7,052,412",n.d.,"7,052,412","5,682,197","4,181,107","3,853,924","3,046,944","3,140,594","2,122,840","2,225,138","1,886,860","1,363,705","139,026",n.d.,"139,026","113,468","225,790","152,750","136,479","251,933","133,562","98,263","49,419","83,787",9.63,n.d.,9.63,5.79,19.91,15.16,15.72,27.10,19.86,13.78,8.58,20.16,39.03,n.d.,39.03,35.85,53.81,39.90,31.33,63.28,56.72,58.27,40.25,93.18,1.28,n.d.,1.28,1.16,1.50,1.56,1.98,1.75,1.53,1.30,1.25,1.24,75.34,n.d.,75.34,83.86,63.01,62.02,49.82,57.18,64.98,76.35,78.68,78.37,49,n.d.,49,56,31,31,25,23,26,20,18,16,15,n.d.,15,n.d.,n.d.,n.d.,n.d.,7,n.d.,n.d.,n.d.,n.d.,43,n.d.,43,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.
614.,INNOVACION Y DESARROLLO LOCAL SL,B82342221,MADRID,-3.61861616,40.44063536,31/12/2018,800,7,7022,Otras actividades de consultoría de gestión empresarial,Consultora de formación de nuevas tecnologías,"7,032,662",n.d.,n.d.,"7,032,662","5,787,274","3,636,168","10,164,798","5,846,157",n.d.,"8,839,065","6,974,248","9,470,156","178,552",n.d.,n.d.,"178,552","-36,619","94,681","324,866","258,763",n.d.,"844,863","167,875","644,469",2.88,n.d.,n.d.,2.88,-0.65,0.00,5.43,2.29,n.d.,10.43,3.27,11.79,7.10,n.d.,n.d.,7.10,-1.48,0.00,10.34,5.20,n.d.,17.67,5.12,17.37,1.39,n.d.,n.d.,1.39,1.56,1.54,1.94,1.77,n.d.,2.61,3.71,3.26,59.48,n.d.,n.d.,59.48,56.41,57.73,47.51,56.03,n.d.,40.94,36.26,32.12,196,n.d.,n.d.,196,169,77,99,81,n.d.,85,125,162,163,n.d.,n.d.,163,92,62,80,46,n.d.,58,82,91,34,n.d.,n.d.,34,37,14,19,43,n.d.,25,42,71
615.,QUERCUS TECHNOLOGIES SL,B83848796,REUS,1.105531,41.162861,31/12/2019,43,5,6209,Otros servicios relacionados con las tecnologías de la información y la informática,Fabricación y comercialización de cámaras de visión artificial.,"7,002,892",n.d.,"7,002,892","5,890,886","5,058,602","3,643,659","2,995,333","2,850,017","3,434,533","2,726,115","2,597,332","1,690,614","-581,797",n.d.,"-581,797","-77,669","444,850","171,674","244,929","51,706","379,300","255,588","213,747","145,058",-10.94,n.d.,-10.94,1.16,8.67,4.34,2.58,1.16,11.01,11.04,10.81,0.94,-26.40,n.d.,-26.40,3.24,17.72,8.84,5.57,2.67,19.78,17.55,17.86,1.63,2.19,n.d.,2.19,2.20,2.80,3.29,2.90,1.99,3.25,4.55,3.40,2.25,58.57,n.d.,58.57,64.18,51.05,50.97,53.69,56.34,44.32,37.11,39.49,42.52,43,n.d.,43,37,35,32,32,28,23,23,20,15,n.d.,n.d.,n.d.,n.d.,10,n.d.,10,n.d.,7,n.d.,5,n.d.,n.d.,n.d.,n.d.,n.d.,28,n.d.,23,n.d.,18,n.d.,15,n.d.
616.,TELESPAZIO IBERICA SL.,B78317062,MADRID,-3.63273049,40.43359463,31/12/2019,115,317,6311,"Proceso de datos, hosting y actividades relacionadas","Sistemas de imagen geográfica,cartografía,teledetección,imagen por satélite y telecomunicaciones.","6,990,516",n.d.,"6,990,516","6,392,253","7,218,290","6,713,359","6,992,823","7,388,388","6,895,071","6,858,642","6,806,169","5,669,474","282,592",n.d.,"282,592","-808,939","-655,495","-35,881","73,132","177,039","59,793","-721,087","-962,305","-2,706,554",5.22,n.d.,5.22,-18.27,-14.31,-0.70,2.46,5.51,1.66,-14.34,-18.28,-32.26,11.15,n.d.,11.15,-36.68,-44.15,-1.48,4.45,11.86,4.38,-36.84,-47.73,180.55,1.45,n.d.,1.45,1.39,1.02,1.39,1.49,1.58,1.15,1.51,1.41,0.59,53.15,n.d.,53.15,50.19,67.58,52.77,44.82,53.57,61.98,61.07,61.71,117.87,115,n.d.,115,114,127,109,109,110,99,104,111,123,n.d.,n.d.,n.d.,52,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,58,n.d.,n.d.,n.d.,n.d.,61,n.d.,n.d.,n.d.
617.,ECOMPUTER SL,B22258982,HUESCA,-0.47466482,42.12099735,31/12/2019,29,2,6202,Actividades de consultoría informática,"Desarrollo de programas informáticos, software y hardware y consultoría informática.","6,988,785",n.d.,"6,988,785","6,447,888","7,905,217","5,355,128","5,155,414","4,005,254","3,575,625","3,314,387","3,559,927","4,318,368","6,261",n.d.,"6,261","-117,055","8,791","5,159","6,336",701,"3,688","11,659","-82,124","-77,310",0.36,n.d.,0.36,-7.04,0.44,0.43,0.36,0.11,0.34,0.80,-4.90,-5.11,2.82,n.d.,2.82,-48.50,2.60,2.05,1.72,0.50,1.53,3.36,-21.88,-18.70,0.60,n.d.,0.60,0.55,0.72,0.68,0.84,0.85,0.91,0.92,0.99,0.87,87.39,n.d.,87.39,85.47,83.11,79.13,78.90,77.45,77.54,76.21,77.63,72.67,31,n.d.,31,29,32,24,21,20,19,19,22,26,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,5,n.d.,n.d.,7,n.d.,n.d.,n.d.,n.d.,n.d.,24,n.d.,n.d.,17,n.d.,n.d.,18
